family,model_type,canonical_channel,necessity,role_in_the_equations,source
cooling_tower,YorkCalc,tcwr_C,required,"entering water temperature: TRan = T_a - T_b, the correlation's range",Buildings.Fluid.HeatExchangers.CoolingTowers.YorkCalc
cooling_tower,YorkCalc,tcws_1_C,required,"leaving water temperature: the model output being validated, and the other end of TRan",same
cooling_tower,YorkCalc,twb_C,required,"TApp = TOut - TWetBul; the correlation is a polynomial in (TWetBul, TRan, liquid-to-gas ratio)",same
cooling_tower,YorkCalc,attributed_flow_m3_h,required,"FRWat = m_flow / (FRWat0 * m_flow_nominal), the liquid side of the liquid-to-gas ratio",same
cooling_tower,YorkCalc,fan1_Hz,required,"FRAir = y, the gas side of the liquid-to-gas ratio, and the switch between forced and free convection",same
cooling_tower,YorkCalc,fans_on_count,required,cell count: converts plant flow to per-cell flow before FRWat,wrapper SiteACTYork27ClosedLoop.mo
cooling_tower,YorkCalc,power_W,optional,"fan power is reported, never used to rank candidates (section 2.6)",-
cooling_tower,Merkel,tcwr_C,required,entering water temperature: UA-corrected epsilon-NTU boundary,Buildings...CoolingTowers.Merkel
cooling_tower,Merkel,tcws_1_C,required,leaving water temperature: model output being validated,same
cooling_tower,Merkel,twb_C,required,air-side inlet enthalpy is taken at the wet bulb,same
cooling_tower,Merkel,attributed_flow_m3_h,required,water-side capacity rate m*cp in the NTU correction,same
cooling_tower,Merkel,fan1_Hz,required,air-side capacity rate through the fan-speed ratio,same
chiller,ElectricEIR,power_W,required,the calibration target: P = P_nominal * capFT * EIRFT * EIRFPLR,Buildings.Fluid.Chillers.ElectricEIR
chiller,ElectricEIR,tchws_C,required,leaving evaporator temperature: the first argument of capFT and EIRFT,same
chiller,ElectricEIR,tcws_C,required,entering condenser temperature: the second argument of capFT and EIRFT for ElectricEIR,same
chiller,ElectricEIR,chw_flow_m3_h,required,evaporator mass flow: sets the load Q = m*cp*dT that drives PLR,same
chiller,ElectricEIR,tchwr_C,required,entering evaporator temperature: the other end of that dT,same
chiller,ElectricEIR,cw_flow_m3_h,required,condenser mass flow: boundary condition on the condenser volume,same
chiller,ElectricReformulatedEIR,tcwr_C,required,LEAVING condenser temperature replaces the entering one in EIRFT and EIRFPLR -- the reformulation is exactly this substitution,Buildings.Fluid.Chillers.ElectricReformulatedEIR
pump,empirical_power,power_W,required,the calibration target: P = P_nominal * (c0 + c1*phi + c2*y + c3*y^3 + c4*phi*y),models/pump/PumpEmpiricalPower.mo
pump,empirical_power,speed_Hz,required,"y = speed / speed_nominal, the only argument of the affinity and speed-poly forms",same
pump,empirical_power,attributed_flow_m3_h,conditional,"phi = m_flow / m_flow_nominal, used only by the speed-flow form and only where attribution covers at least half the running record",same
pump,mover,attributed_flow_m3_h,required,the pump curve is shaped by a measured nominal flow; without one the mover cannot be instantiated,Buildings.Fluid.Movers.SpeedControlled_y
heat_exchanger,ConstantEffectiveness,tchws_C,required,side-1 inlet temperature in Q = eps * Cmin * (T_a1 - T_a2),Buildings.Fluid.HeatExchangers.ConstantEffectiveness
heat_exchanger,ConstantEffectiveness,tcws_C,required,"side-2 inlet temperature, the other end of that difference",same
heat_exchanger,ConstantEffectiveness,chw_flow_m3_h,required,side-1 capacity rate C1 = m1*cp; Cmin needs both,same
heat_exchanger,ConstantEffectiveness,cw_flow_m3_h,required,side-2 capacity rate C2 = m2*cp; Cmin needs both,same
heat_exchanger,ConstantEffectiveness,tcwr_C,required,side-2 outlet: the uncontrolled output validated against,same
heat_exchanger,PlateEffectivenessNTU,tchwr_C,required,"side-1 outlet closes the duty used to identify UA in eps = f(NTU, Cr)",Buildings.Fluid.HeatExchangers.PlateHeatExchangerEffectivenessNTU
